ingredient_id,recipe_id,component_group,ingredient_name,nutrition_name,quantity,unit,grams_approx
1,1,ส่วนผสมหลัก,กุ้งนาง,กุ้ง,4,ตัว,500.0
2,1,ส่วนผสมหลัก,พริกไทย,พริกไทย,5,เม็ด,0.25
3,1,ส่วนผสมหลัก,กระเทียมกลีบใหญ่,กระเทียม,2,กลีบ,10.0
4,1,ส่วนผสมหลัก,รากผักชี,ผักชี,5,ราก,10.0
5,1,ส่วนผสมหลัก,น้ำปลา,น้ำปลา,2,ช้อนโต๊ะ,36.0
6,1,ส่วนผสมหลัก,น้ำมันหมู,น้ำมันหมู,1,ช้อนโต๊ะ,13.0
7,2,ส่วนผสมหลัก,กล้วยไข่,กล้วยไข่,1,หวี,1000.0
8,2,ส่วนผสมหลัก,ข้าวเม่า,ข้าวเม่า,500,กรัม,500.0
9,2,ส่วนผสมหลัก,ไข่เป็ด,ไข่เป็ด,2,ฟอง,140.0
10,2,ส่วนผสมหลัก,แป้งข้าวเจ้าแห้ง,แป้งข้าวเจ้า,1/4,ถ้วยชา,13.75
11,2,ส่วนผสมหลัก,น้ำปูนใส,น้ำปูนใส,1/2,ช้อนโต๊ะ,7.5
12,2,ส่วนผสมหลัก,เกลือ,เกลือ,1,ช้อนชา,5.0
13,2,ส่วนผสมหลัก,น้ำกะทิ,น้ำกะทิ,2,ถ้วยชา,240.0
14,3,ส่วนผสมหลัก,ไข่เป็ด,ไข่เป็ด,2,ฟอง,140.0
15,3,ส่วนผสมหลัก,เนื้อโค,เนื้อโค,200,กรัม,200.0
16,3,ส่วนผสมหลัก,มะนาว,มะนาว,1,ผล,40.0
17,3,ส่วนผสมหลัก,เกลือป่น,เกลือ,1,ช้อนชา,5.0
18,3,ส่วนผสมหลัก,กระเทียม,กระเทียม,5,กลีบ,10.0
19,3,ส่วนผสมหลัก,ผักชี,ผักชี,2,ต้น,
20,3,ส่วนผสมหลัก,แตงกวา,แตงกวา,3,ผล,
21,3,ส่วนผสมหลัก,มะเขือเทศ,มะเขือเทศ,4,ผล,
22,3,ส่วนผสมหลัก,หอมใหญ่,หัวหอม,1,หัว,30.0
23,3,ส่วนผสมหลัก,ต้นหอม,ต้นหอม,5,ต้น,
24,3,ส่วนผสมหลัก,น้ำมันหมู,น้ำมันหมู,2,ช้อนโต๊ะ,26.0
25,3,ส่วนผสมหลัก,น้ำส้ม,น้ำส้ม,2,ช้อนโต๊ะ,30.0
26,3,ส่วนผสมหลัก,น้ำแกงดี,น้ำแกงดี,1+1/2,ช้อนโต๊ะ,22.5
27,3,ส่วนผสมหลัก,น้ำตาล,น้ำตาล,2,ช้อนโต๊ะ,30.0
28,3,ส่วนผสมหลัก,พริกไทยป่นพอควร,พริกไทย,,
29,3,ส่วนผสมหลัก,พริกแดง,พริกแดง,2,เม็ด,
30,3,ส่วนผสมหลัก,กะเทียม,กะเทียม,3,กลีบ,6.0
31,4,ส่วนผสมหลัก,ไข่ต้มสุกแข็ง,ไข่ต้ม,2,ฟอง,
32,4,ส่วนผสมหลัก,ข้าวคั่ว,ข้าวคั่ว,1,ช้อนโต๊ะ,15.0
33,4,ส่วนผสมหลัก,ข่าป่น,ข่า,1/2,ช้อนชา,2.5
34,4,ส่วนผสมหลัก,เกลือ,เกลือ,4,ช้อนโต๊ะ,60.0
35,4,ส่วนผสมหลัก,น้ำ,น้ำ,180,มิลลิลิตร,
36,4,ส่วนผสมหลัก,น้ำข้าวหมาก,น้ำข้าวหมาก,60,มิลลิลิตร,
37,4,ส่วนผสมหลัก,หอมซอย,หอมซอย,1,ช้อนโต๊ะพูน,
38,4,ส่วนผสมหลัก,ขิงหั่นฝอย,ขิงหั่นฝอย,1,ช้อนโต๊ะ,15.0
39,4,ส่วนผสมหลัก,พริกสด,พริกสด,2,เม็ด,
40,4,ส่วนผสมหลัก,ผักชีสำหรับโรย,ผักชี,1,ก้าน,
41,4,ส่วนผสมหลัก,มะนาว,มะนาว,1,ผล,40.0
42,4,ส่วนผสมหลัก,น้ำตาล,น้ำตาล,1/2,ช้อนชา,2.5
43,5,ส่วนผสมหลัก,ปลาทู,ปลาทู,3,ตัว,
44,5,ส่วนผสมหลัก,มะพร้าวขูด,เนื้อมะพร้าว,1/2,ถ้วยชา,60.0
45,5,ส่วนผสมหลัก,หัวกะทิ,หัวกะทิ,2,ช้อนโต๊ะ,30.0
46,5,ส่วนผสมหลัก,พริกแห้ง,พริกแห้ง,6,เม็ด,
47,5,ส่วนผสมหลัก,หอม,หอม,1,หัว,30.0
48,5,ส่วนผสมหลัก,กระเทียม,กระเทียม,4,กลีบ,8.0
49,5,ส่วนผสมหลัก,ข่า,ข่า,1,แง่งเล็ก,
50,5,ส่วนผสมหลัก,ตะไคร้,ตะไคร้,1,ต้น,
51,5,ส่วนผสมหลัก,ผิวมะกรูด,ผิวมะกรูด,1,ช้อนชา,5.0
52,5,ส่วนผสมหลัก,รากผักชี,รากผักชี,2,ราก,4.0
53,5,ส่วนผสมหลัก,ใบมะกรูด,ใบมะกรูด,2,ใบ,
54,5,ส่วนผสมหลัก,ใบผักชี,ใบผักชี,2,ต้น,
55,5,ส่วนผสมหลัก,ใบโหระพา,ใบโหระพา,5,ใบ,
56,5,ส่วนผสมหลัก,น้ำปลา,น้ำปลา,1,ช้อนชา,5.0
57,5,ส่วนผสมหลัก,น้ำตาล,น้ำตาล,1,ช้อนชา,5.0
58,5,ส่วนผสมหลัก,ใบตองสำหรับห่อ,ใบตอง,3,แผ่น,
59,6,ส่วนผสมหลัก,กะปิดำอย่างดี,กะปิ,1,ช้อนชาพูน,
60,6,ส่วนผสมหลัก,กระเทียมไทยหัวเล็ก,กระเทียม,4,หัว,100.0
61,6,ส่วนผสมหลัก,กุ้งแห้งป่น,กุ้งแห้ง,1,ช้อนโต๊ะ,15.0
62,6,ส่วนผสมหลัก,มะนาว,มะนาว,1,ผล,40.0
63,6,ส่วนผสมหลัก,มะอึกสุก,มะอึก,2,ผล,
64,6,ส่วนผสมหลัก,ผิวส้มเหม็นหั่นละเอียด,ผิวส้มเหม็น,1,ช้อนชาพูน,
65,6,ส่วนผสมหลัก,น้ำปลา,น้ำปลา,1,ช้อนโต๊ะ,18.0
66,6,ส่วนผสมหลัก,น้ำตาลปึก,น้ำตาลปึก,1,ช้อนชา,5.0
67,6,พริกสามสี,พริกสวนนอก,พริกสวน,6,เม็ด,
68,6,พริกสามสี,พริกขี้หนู,พริกขี้หนู,1,ช้อนชา,5.0
69,7,ส่วนผสมหลัก,ไข่ปลาดุกนึ่ง,ไข่ปลาดุก,6,ฝัก,
70,7,ส่วนผสมหลัก,มะม่วงดิบ,มะม่วง,2,ช้อนโต๊ะพูน,
71,7,ส่วนผสมหลัก,หัวหอมซอย,หัวหอมซอย,2,ช้อนโต๊ะพูน,
72,7,ส่วนผสมหลัก,น้ำเคยดี,น้ำเคยดี,1,ช้อนโต๊ะ,15.0
73,7,ส่วนผสมหลัก,พริกขี้หนู,พริกขี้หนู,4,เม็ด,
