recipe_id,recipe_name,method
1,กุ้งทอดพริกไทยกระเทียม,"1. ล้างกุ้งให้สะอาด ปอกเปลือกแล้วผ่าหลังถึงหางตลอดตัวให้ลึก
2. ใช้มีดบั้งบนหลังกุ้งตามขวาง เพื่อให้เส้นเอ็นขาด เวลาทอดกุ้งจะได้ไม่งอ
3. โขลกพริกไทย กระเทียม และรากผักชีให้ละเอียด
4. เคล้ากุ้งกับเครื่องโขลกและน้ำปลาให้ทั่ว
5. ยกกระทะตั้งไฟ ใส่น้ำมันหมูให้ร้อน นำกุ้งที่หมักไว้ลงทอดจนสุก
6. ตักขึ้นใส่จาน แล้วราดด้วยน้ำมันที่ใช้ทอดเล็กน้อย"
2,ข้าวเม่าทอด,"1. โขลกข้าวเม่าทีละน้อยด้วยครกให้ละเอียดพอที่จะปั้นหุ้มกล้วยได้
2. นำข้าวเม่าที่โขลกแล้วแผ่เป็นแผ่นบาง ๆ หุ้มกล้วยไข่ที่หั่นไว้จนหมด แล้วพักไว้
3. นวดแป้งข้าวเจ้าเข้ากับกะทิ ไข่ เกลือ และน้ำปูนใส โดยเหลือกะทิไว้บางส่วน
4. ทดสอบโดยหยดแป้งลงในกระทะน้ำมันที่เดือด หากฟูดีแสดงว่าใช้ได้
5. นำกล้วยที่หุ้มข้าวเม่าไว้ลงชุบแป้งแล้วทอด จากนั้นโรยแป้งบาง ๆ เป็นฝอย ๆ ใช้ตะหลิวค่อย ๆ เขี่ยให้ฝอยอยู่ด้านบน
6. ทอดเป็นคู่เล็ก ๆ ให้ฝอยฟูเกาะกัน ราดน้ำมันพอเหลือง ตักขึ้นพักให้สะเด็ดน้ำมัน"
3,เปรี้ยวหวานไข่ม้วน,"1. หั่นเนื้อโคบาง ๆ แล้วสับละเอียด ใส่เกลือป่น กระเทียม 5 กลีบ โขลกให้ละเอียด บีบน้ำมะนาวทั้งผลลงไป เคล้าให้เข้ากัน
2. เด็ดผักชี 2 ต้น แบ่งไว้สำหรับโรยหน้าเล็กน้อย ที่เหลือหั่นละเอียด ผสมกับเนื้อสับและไข่แดง 1 ฟอง พักไว้
3. ตอกไข่อีก 1 ฟอง ตีให้เข้ากับไข่ขาว ตั้งกระทะทาน้ำมันหมู กรอกเป็นแผ่นไข่บาง 2 แผ่น
4. แบ่งเนื้อสับเป็น 2 ส่วน ทาแผ่นละส่วน พับริมทั้งสองด้านแล้วม้วนเป็นแท่งให้แน่น จากนั้นนำไปนึ่งพอสุก พักให้เย็น
5. ล้างและหั่นแตงกวา มะเขือเทศ หอมใหญ่ ต้นหอม และพริกแดง (คว้านเมล็ดออกแล้วหั่นฝอยตามยาว แช่น้ำไว้)
6. ผสมน้ำส้ม น้ำแกงดี และน้ำตาล คนให้เข้ากันเป็นน้ำปรุงรส
7. หั่นไข่ม้วนเป็นชิ้นเฉียงพอดีคำ
8. โขลกกระเทียม 3 กลีบให้ละเอียด ตั้งกระทะใส่น้ำมันบนไฟแรง พอร้อนจัด ใส่กระเทียมลงผัดพอหอม ใส่ผักและไข่ม้วนลงผัดจนผักสลด
9. ราดน้ำปรุงรสลงไปรอบ ๆ กระทะ เร่งไฟแล้วคนให้เข้ากัน ตักใส่ภาชนะ โรยพริกไทย ผักชี และพริกแดง"
4,ไข่จ่อม,"1. ปอกเปลือกไข่ต้มแข็งแล้วใส่ลงขวดโหล เติมน้ำเกลือที่ต้มไว้ให้ท่วมไข่
2. ใส่ข่าป่น ข้าวคั่ว และน้ำข้าวหมาก (น้ำครั่ง) คนให้เข้ากัน พอให้น้ำดองมีสีแดงอ่อน ๆ
3. ปิดฝา เก็บไว้หมัก 3–7 วัน จึงนำมาใช้ได้
4. เวลารับประทาน ตักไข่ใส่ภาชนะ หั่นเป็นแว่นบาง ๆ โรยด้วยหอมซอยและขิงหั่นฝอย
5. ตักน้ำดองราดเล็กน้อย บีบมะนาว เติมน้ำตาลตามชอบ (แต่ไม่ควรคนมากเกินไป เพราะจะทำให้เสียรสและไม่น่ากิน)
6. โรยพริกสดและผักชี รับประทานคู่กับปลาย่างหรือผักสดตามชอบ"
5,ปลาทูงบ,"1. ทำปลาทูให้สะอาด แล่เอาแต่เนื้อเป็น 6 ชิ้น และเก็บก้างออกให้หมด ผึ่งไว้
2. แกะเม็ดพริกแห้งออก ล้างให้สะอาด
3. โขลกพริกกับตะไคร้ หอม กระเทียม ผิวมะกรูด และรากผักชีให้ละเอียด
4. ใส่มะพร้าวขูดลงไปโขลกให้เข้ากันดี
5. ปรุงรสด้วยน้ำปลาและน้ำตาลเล็กน้อย
6. เตรียมใบตองซ้อนกัน 3 ชั้น ทำเป็นสี่เหลี่ยมสำหรับห่อ
7. วางใบโหระพาลงรองก้นห่อ
8. นำชิ้นปลาที่ผึ่งไว้คลุกกับน้ำพริกที่ปรุงรสแล้ว วางเรียงบนใบโหระพา
9. ตักน้ำพริกลาดลงบนชิ้นปลา เกลี่ยหน้าให้เรียบ แล้วหยอดหัวกะทิพอประมาณ
10. ตกแต่งด้วยใบมะกรูดซอย ผักชีซอย และพริกแดงหั่นฝอย
11. ห่อเป็นสี่เหลี่ยม ใช้ไม้กลัดยึด หรือมัดให้แน่น แล้วปิ้งจนสุก"
6,น้ำพริกจิ้มผักดิบ,"1. ใส่กุ้งแห้ง กะปิดำ และเกลือเล็กน้อยลงครก โขลกให้ละเอียด
2. ปอกกระเทียมใส่โขลกรวมจนละเอียด
3. ใส่มะอึกที่หั่นแล้ว ผิวส้มเหม็น และพริกสามสี โขลกพอพริกแตก
4. ปรุงรสด้วยน้ำปลา น้ำตาลปึก และบีบมะนาว คนให้เข้ากัน
5. ชิมรสตามชอบ ตักใส่ถ้วย โรยพริกขี้หนูสำหรับตกแต่ง

**หมายเหตุ** น้ำพริกอย่างนี้ใช้คลุกข้าวก็ได้ จิ้มผักดิบก็ได้ เวลาปรุงถ้าใช้มะดันมะม่วงก็ไม่ต้องใช้มะนาว ผิวส้มเหม็นและมะอึก"
7,ลอยน้ำดอกไม้สด,"1. ล้างภาชนะที่จะใช้ลอยให้สะอาด ไม่ว่าจะเป็นขวดหรือโถ
2. ลนดอกกระดังงาด้วยเปลวเทียนเล็ก ๆ
3. เด็ดก้านมะลิออก และฉีกกลีบกระดังงาให้หลุดเอง 2–3 ชิ้นต่อกลีบ (ห้ามบีบแรง)
4. เปิดฝาภาชนะแล้วเทน้ำลงไป
5. โรยกลีบดอกกระดังงาลงไป
6. วางดอกมะลิในน้ำโดยให้ก้านลงด้านล่าง
7. ปิดฝาภาชนะไว้

**ข้อควรทราบในการลอยนํ้าดอกไม้สด**
1. ดอกมะลิ ต้องใช้ที่เก็บจากต้นในคอนเย็น ถ้าเป็นดอกมะลิซื้อ ก็ควรซื้อแต่ตอนเช้ามาเก็บไว้ ถ้าซื้อตอนเย็น จะได้มะลิที่สำลักน้ำ เมื่อบานแล้วจะไม่หอม เพราะดอกมะลิ ถ้าถูกพรมน้ำมากเกินไป หรือ บานเสียก่อน แล้วน้ำมันในดอกไม้จะระเหยไปหมด เมื่อใช้ลอยน้ำก็จะไม่หอม ดอกกะดังงาควรเลือกเหลือง ๆ เพราะลีเขียวกลิ่นอ่อน
2. ดอกไม้ที่ใช้ลอย ไม่ควรลอยให้แน่นภาชนะ ต้องเหลือที่ว่าง สำหรับให้น้ำเก็บกลิ่นหอมได้
3. น้ำที่ใช้ลอย ถ้าใช้ประกอบอาหารที่จะไม่ต้องหุงต้มอีก ก็ใช้น้ำต้มที่ทิ้งไว้จนเย็น ถ้าใช้สำหรับใช้ประกอบอาหารที่จะหุงต้มอีก ก็ไม่ต้องใช้น้ำต้ม
4. เวลาลอยดอกไม้ควรลอยแต่เวลา 18.30 น. ถึงเวลา 19.00 น. เวลาเก็บดอกไม้ขึ้น ควรเป็นเวลา 6.00 น. ถึง 7.00 น. ของวันรุ่งขึ้น"
8,ยำไข่ปลาดุก,"1. นำไข่ปลาดุกนึ่งใส่จาน
2. ขูดมะม่วงดิบเป็นฝอย และซอยหัวหอม
3. ใส่มะม่วงและหัวหอมลงในจานกับไข่ปลาดุก
4. เมื่อจะรับประทาน เติมน้ำเคยดีตามชอบ คลุกให้เข้ากัน
5. โรยพริกขี้หนูซอยบนหน้า
6. สามารถปรับรสด้วยมะนาว มะดัน หรือมะปรางดิบแทนมะม่วงดิบได้"
9,ปลาทูทอดปรุง,"1. ทอดปลาทูนึ่งให้เหลืองเกรียม แล้วแกะเอาแต่เนื้อแบ่งเป็น 4 ชิ้น
2. วางปลาทูบนจานผัก โรยด้วยหัวหอมซอยและขิงซอย
3. ผสมน้ำปลา มะนาว และพริกชี้ฟ้าเผาที่หั่นแล้ว คนให้เข้ากัน
4. เวลาจะรับประทาน ราดน้ำปรุงลงบนปลาทูทอด"
10,ต้มยำกะทิ,"1. คั้นกะทิจากมะพร้าวขูดใส่หม้อ ใส่น้ำตั้งไฟพอเดือด
2. ใส่เนื้อปลาที่เตรียมไว้ลงต้ม
3. ทุบตะไคร้แล้วหั่นเป็นท่อน ใส่ลงหม้อพร้อมฉีกใบมะกรูด
4. ต้มจนปลาสุก
5. ปรุงรสด้วยน้ำพริกเผา น้ำปลา และน้ำมะนาว
6. ตักใส่ชาม โรยผักชี ต้นหอมซอย และกระเทียมเจียว"
