ingredient,calcium,potassium,fat,vitamin_c,vitamin_b1,vitamin_b2,iron,sodium,vitamin_a,protein,calories,carbs,fiber
เนื้อหมู,5.0,399.0,2.17,0.0,0.998,0.342,0.98,53.0,0.0,21.0,109.0,0.0,0.0
หมูสามชั้น,5.0,185.0,53.0,0.3,0.396,0.242,0.52,32.0,3.0,9.34,518.0,0.0,0.0
มันหมู,2.0,65.0,88.7,0.1,0.084,0.051,0.18,11.0,5.0,2.92,812.0,0.0,0.0
มันหมูแข็ง,2.0,65.0,88.7,0.1,0.084,0.051,0.18,11.0,5.0,2.92,812.0,0.0,0.0
มันหมูหั่นละเอียด,2.0,65.0,88.7,0.1,0.084,0.051,0.18,11.0,5.0,2.92,812.0,0.0,0.0
มันหมูต้มสุกหั่น,2.0,65.0,88.7,0.1,0.084,0.051,0.18,11.0,5.0,2.92,812.0,0.0,0.0
น้ำมันหมู,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0
หนังหมู,11.0,140.0,10.1,0.0,0.051,0.201,1.01,75.0,0.0,16.8,159.0,0.0,0.0
หนังหมูต้มหั่นฝอย,15.0,85.0,7.26,0.0,0.04,0.188,1.23,40.0,0.0,21.4,157.0,0.09,0.0
หนังหมูต้มสุกหั่นฝอย,15.0,85.0,7.26,0.0,0.04,0.188,1.23,40.0,0.0,21.4,157.0,0.09,0.0
ไส้หมู,16.0,18.0,16.6,1.1,0.02,0.091,1.02,24.0,0.0,7.64,182.0,0.0,0.0
ตับหมู,9.0,273.0,3.65,25.3,0.283,3.0,23.3,87.0,6500.0,21.4,134.0,2.47,0.0
ตับหมูสับ,9.0,273.0,3.65,25.3,0.283,3.0,23.3,87.0,6500.0,21.4,134.0,2.47,0.0
ตับหมูบดละเอียด,9.0,273.0,3.65,25.3,0.283,3.0,23.3,87.0,6500.0,21.4,134.0,2.47,0.0
ตับหมูสับละเอียด,9.0,273.0,3.65,25.3,0.283,3.0,23.3,87.0,6500.0,21.4,134.0,2.47,0.0
หมูหั่นแล้ว,5.0,399.0,2.17,0.0,0.998,0.342,0.98,53.0,0.0,21.0,109.0,0.0,0.0
หมูแฮม,7.0,297.0,8.39,0.0,0.889,0.24,0.9,1280.0,0.0,18.3,162.0,2.28,0.0
หมูแฮมสับละเอียด,7.0,297.0,8.39,0.0,0.889,0.24,0.9,1280.0,0.0,18.3,162.0,2.28,0.0
กุนเชียง,46.0,152.0,13.6,2.3,0.235,0.103,3.07,304.0,29.0,8.88,260.0,25.5,1.0
ไส้กรอก,32.0,337.0,23.0,1.1,0.51,0.25,1.62,878.0,0.0,22.7,307.0,0.7,0.0
ไส้กรอกหมูแห้ง,46.0,152.0,13.6,2.3,0.235,0.103,3.07,304.0,29.0,8.88,260.0,25.5,1.0
เนื้อเค็มต้ม,7.0,297.0,14.9,27.0,0.043,0.157,1.69,1220.0,0.0,14.7,198.0,0.14,0.0
เนื้อเค็มทอดฟู,8.0,235.0,1.94,0.0,0.065,0.163,2.42,2790.0,0.0,31.1,153.0,2.76,0.0
ซอสสต็อกเนื้อ,8.0,185.0,0.09,0.0,0.033,0.091,0.27,198.0,0.0,1.97,13.0,1.2,0.0
